idvo,pubvo,nazvvo,textvo,vkladvo
11,1,Paragraph 2 of Article 4 of the Agreement,"<a href=""#"" onclick=""displayStaticMessage1('<table border=0 width=900 height=550 cellspacing=0 cellpadding=0><tr><td><div style=\\'width:880px; overflow:scroll; overflow-x:hidden;  height:495px; background:#ffffff;text-align:center;padding:10px;\\'><table  width=850 border=0 cellspacing=0 cellpadding=0><tr><td width=800 valign=top><p align=center><img src=../images/gerb_v.jpg border=0></p><p align=center style=\\’line-height: 150%; margin-top: 2px; font-size:11px; font-family: Verdana; color:#181c41;\\’><b>AGREEMENT<br><br>between the Russian Federation and the European Community<br>on the facilitation of the issuance of visas<br>to the citizens of the Russian Federation and the European Union</b><br><br></p><p align=left style=\\’line-height: 150%; margin-top: 2px; font-size:9px; font-family: Verdana; color:#181c41; \\’><b>Article 4 - Documentary evidence regarding the purpose of the journey.</b><br><br>1. For the following categories of citizens of the Russian Federation and of the European Union, the following documents are sufficient for justifying the purpose of the journey to the other Party:<br><br>a) for members of official delegations who, following an official invitation addressed to the Russian Federation, the Member States, or the European Union, shall participate in meetings, consultations, negotiations or exchange programmes, as well as in events held in the territory of one of the Member States or the Russian Federation by intergovernmental organisations:<br><br>– a letter issued by a competent authority of the Russian Federation or of a Member State, or by a European institution confirming that the applicant is a member of its delegation travelling to the territory of the other Party to participate at the aforementioned events, accompanied by a copy of the official invitation;<br><br>b) for business people and representatives of business organisations:<br><br>– a written request from a host legal person or company, organisation, or an office or their branches, state and local authorities of the Russian Federation and the Member States or organizing committees of trade and industrial exhibitions, conferences and symposia held in the territories of the Russian Federation or one of the Member States;<br><br>c) for drivers conducting international cargo and passenger transportation services between the territories of the Russian Federation and the Member States in vehicles registered in the Russian Federation or in the Member States:<br><br>– a written request from the national association (union) of carriers of the Russian Federation or the national associations of carriers of the Member States providing for international road transportation, stating the purpose, duration and frequency of the trips;<br><br>d) for members of train, refrigerator and locomotive crews in international trains, traveling between the territories of the Russian Federation and the Member States:<br><br>– a written request from the competent railway company of the Russian Federation or the Member States stating the purpose, duration and frequency of the trips;<br><br>e) for journalists:<br><br>– a certificate or other document issued by a professional organisation proving that the person concerned is a qualified journalist and a document issued by his/her employer stating that the purpose of the journey is to carry out journalistic work;<br><br>f) for persons participating in scientific, cultural and artistic activities, including university and other exchange programmes:<br><br>– a written request from the host organisation to participate in those activities;<br><br>g) for pupils, students, post-graduate students and accompanying teachers who undertake trips for the purposes of study or educational training, including in the framework of exchange programmes as well as other school related activities:<br><br>– a written request or a certificate of enrolment from the host university, academy, institute, college or school or student cards or certificates of the courses to be attended.<br><br>h) for participants in international sports events and persons accompanying them in a professional capacity:<br><br>– a written request from the host organisation: competent authorities, national sport Federations of the Russian Federation or the Member States and National Olympic Committee of the Russian Federation or National Olympic Committees of the Member States;<br><br>i) for participants in official exchange programmes organised by twin cities:<br><br>– a written request of the Head of Administration/Mayor of these cities.<br><br>j) for close relatives - spouses, children (including adopted), parents (including custodians), grandparents and grandchildren - visiting citizens of the Russian Federation or the European Union legally residing in the territory of the Member States or the Russian Federation:<br><br>– a written request from the host person.<br><br>k) for visiting military and civil burial grounds:<br><br>– an official document confirming the existence and preservation of the grave as well as family or other relationship between the applicant and the buried.<br><br>2. The written request mentioned in paragraph 1 of this Article shall contain the following items:<br><br>a) for the invited person - name and surname, date of birth, sex, citizenship, number of the identity document, time and purpose of the journey, number of entries and name of minor children accompanying the invited person;<br><br>b) for the inviting person - name, surname and address or<br><br>c) for the inviting legal person, company or organisation - full name and address and<br><br>– if the request is issued by an organisation, the name and position of the person who signs the request;<br><br>– if the inviting person is a legal person or company or an office or their branch established in the territory of a Member State, the registration number as required by the national law of the Member State concerned;<br><br>– if the inviting person is a legal person or company or an office or their branch established in the territory of the Russian Federation, the tax identification number.<br><br>3. For the categories of citizens mentioned in paragraph 1 of this Article, all categories of visas are issued according to the simplified procedure without requiring any other justification, invitation or validation concerning the purpose of the journey, provided for by the legislation of the Parties.<br><br></p></td></tr></table></div><a href=\\'#\\' onclick=\\'closeMessage();return false\\'><img src=../images/closevklad_ban.jpg border=0 height=35 width=900></a></td></tr></table>');return false""><span class=""vklad3"">paragraph 2 of Article 4 of the Agreement</span></a>",[vokno011]
17,1,Health insurance,"<a href=""#"" onclick=""displayStaticMessage1('<table border=0 width=900 height=550 cellspacing=0 cellpadding=0><tr><td><div style=\\'width:880px; overflow:scroll; overflow-x:hidden;  height:495px; background:#ffffff;text-align:center;padding:10px;\\'><table  width=850 border=0 cellspacing=0 cellpadding=0><tr><td width=800 valign=top><p align=center><img src=http://www.ambru.nl/i/health_insurance.jpg border=1 alt=Health_insurance  width=700 height=991></p></td></tr></table></div><a href=\\'#\\' onclick=\\'closeMessage();return false\\'><img src=../images/closevklad_ban.jpg border=0 height=35 width=900></a></td></tr></table>');return false""><span class=""vklad3"">Health insurance</span></a>",[vokno017]
16,1,Coverage,"<a href=""#"" onclick=""displayStaticMessage1('<table border=0 width=900 height=550 cellspacing=0 cellpadding=0><tr><td><div style=\\'width:880px; overflow:scroll; overflow-x:hidden;  height:495px; background:#ffffff;text-align:center;padding:10px;\\'><table  width=850 border=0 cellspacing=0 cellpadding=0><tr><td width=800 valign=top><p align=center><img src=http://www.ambru.nl/i/health_insurance.jpg border=0 alt=Sample width=700 height=991></p></td></tr></table></div><a href=\\'#\\' onclick=\\'closeMessage();return false\\'><img src=../images/closevklad_ban.jpg border=0 height=35 width=900></a></td></tr></table>');return false""><span class=""vklad3"">See sample</span></a>",[vokno016]
15,1,Prig,"<a href=""#"" onclick=""displayStaticMessage1('<table border=0 width=900 height=550 cellspacing=0 cellpadding=0><tr><td><div style=\\'width:880px; overflow:scroll; overflow-x:hidden;  height:495px; background:#ffffff;text-align:center;padding:10px;\\'><table  width=850 border=0 cellspacing=0 cellpadding=0><tr><td width=800 valign=top><p align=center><img src=http://www.ambru.nl/i/prig1.jpg border=0 alt=Invitation width=500 height=721></p></td></tr></table></div><a href=\\'#\\' onclick=\\'closeMessage();return false\\'><img src=../images/closevklad_ban.jpg border=0 height=35 width=900></a></td></tr></table>');return false""><span class=""vklad3"">See sample</span></a>",[vokno015]
18,1,Invitation,"<a href=""#"" onclick=""displayStaticMessage1('<table border=0 width=900 height=550 cellspacing=0 cellpadding=0><tr><td><div style=\\'width:880px; overflow:scroll; overflow-x:hidden;  height:495px; background:#ffffff;text-align:center;padding:10px;\\'><table  width=850 border=0 cellspacing=0 cellpadding=0><tr><td width=800 valign=top><p align=center><img src=http://www.ambru.nl/i/prig1.jpg border=0 alt=Invitation width=500 height=721></p></td></tr></table></div><a href=\\'#\\' onclick=\\'closeMessage();return false\\'><img src=../images/closevklad_ban.jpg border=0 height=35 width=900></a></td></tr></table>');return false""><span class=""vklad3"">Invitation</span></a>",[vokno018]
19,1,AIDS test,"<a href=""#"" onclick=""displayStaticMessage1('<table border=0 width=900 height=550 cellspacing=0 cellpadding=0><tr><td><div style=\\'width:880px; overflow:scroll; overflow-x:hidden;  height:495px; background:#ffffff;text-align:center;padding:10px;\\'><table  width=850 border=0 cellspacing=0 cellpadding=0><tr><td width=800 valign=top><p align=center><img src=http://www.ambru.nl/i/hiv.jpg border=1 alt=AIDS_test width=577 height=756></p></td></tr></table></div><a href=\\'#\\' onclick=\\'closeMessage();return false\\'><img src=../images/closevklad_ban.jpg border=0 height=35 width=900></a></td></tr></table>');return false""><span class=""vklad3"">AIDS test</span></a>",[vokno019]
20,1,the Russia-EU Visa Facilitation Agreement,"<a href=""#"" onclick=""displayStaticMessage('<table border=0 width=550 height=400 cellspacing=0 cellpadding=0><tr><td width=90 height=90 background=../images/gerbvklad.jpg></td><td width=460><div class=vklad1> The AGREEMENT or the same rules<br>are applicable to the citizens<br>of the following states:</div></td></tr><tr><td height=275 colspan=2 valign=center><div class=vklad2>Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden and Switzerland.</div></td></tr><tr><td height=35 colspan=2><a href=\\'#\\' onclick=\\'closeMessage();return false\\'><img src=../images/closevklad.jpg border=0 height=35 width=550></a></td></tr></table>');return false""><span class=""vklad3"">the Russia-EU Visa Facilitation Agreement</span></a> ",[vokno020]
30,1,Приглашение турист. виза,"<a href=""#"" onclick=""displayStaticMessage1('<table border=0 width=900 height=550 cellspacing=0 cellpadding=0><tr><td><div style=\\'width:880px; overflow:scroll;  height:495px; background:#ffffff;text-align:center;padding:10px;\\'><table  width=900 height=550 border=0 cellspacing=0 cellpadding=0><tr><td width=800 valign=top><p align=center><img src=http://www.ambru.nl/i/tourist_invit2.jpg border=1 alt=Invite width=800 height=548></p></td></tr></table></div><a href=\\'#\\' onclick=\\'closeMessage();return false\\'><img src=../images/closevklad_ban.jpg border=0 height=35 width=900></a></td></tr></table>');return false""><span class=""vklad3"">See sample</span></a>",[vokno030]
31,1,Приглашение - тур виза,"<a href=""#"" onclick=""displayStaticMessage1('<table border=0 width=900 height=550 cellspacing=0 cellpadding=0><tr><td><div style=\\'width:880px; overflow:scroll;  height:495px; background:#ffffff;text-align:center;padding:10px;\\'><table  width=900 height=550 border=0 cellspacing=0 cellpadding=0><tr><td width=800 valign=top><p align=center><img src=http://www.ambru.nl/i/tpprf_invite.jpg border=0 alt=Invite width=800 height=1132></p></td></tr></table></div><a href=\\'#\\' onclick=\\'closeMessage();return false\\'><img src=../images/closevklad_ban.jpg border=0 height=35 width=900></a></td></tr></table>');return false""><span class=""vklad3"">See sample of a direct invitation</span></a>",[vokno031]

