ID_ORG,RECORD_DEFUNCT_RISK,BUS_DESCRIPTION_1,BUSCODE_1,ORGANISATION,ADDRESS,LOCATION,STATE,POSTCODE,REGION,PHONE1,PHONE2,TOLLFREE1,TOLLFREE2,MOBILE1,MOBILE2,FAX,EMAIL1,EMAIL2,WEBSITE,NUMOFEMP,YEAR_ESTABLISHED,ANZSIC_CODE_1,ANZSIC_DESCRIPTION_1,BUSCODE_2,BUS_DESCRIPTION_2,ANZSIC_CODE_2,ANZSIC_DESCRIPTION_2,ID_ORG2018,RECORD_DATE
12788887,,Business - Systems Consultants,729101676,Access Analytic Solutions Pty Ltd,Suite 143 Level 1 580 Hay St,PERTH,WA,6000,PERTH,0862108500,,,,,,,,,www.accessanalytic.com.au,,,7291,Office Administrative Services,,,,,12788887,28/04/2010 0:00
12788888,,Dentists & Dental Clinics,853102376,Access Dental Care,Level 7 140 St Georges Tce,PERTH,WA,6000,PERTH,0894850600,,,,,,,acedentalcare@bigpond.com.au,reception@accessdentalcare.com.au,www.accessdentalcare.com.au,,,8531,Dental Services,,,,,12788888,1/04/2013 0:00
12788895,,Accommodation - General,440006324,Accor Asia Pacific,Ground Floor 16 Irwin St,PERTH,WA,6000,PERTH,0894611000,,,,,,,,,,,,4400,Accommodation,,,,,12788895,29/05/2009 0:00
12788995,,Airlines & Agents,490011138,Air Mauritius,Lvl 3 178 St Georges Tce,PERTH,WA,6000,PERTH,0894426070,,1300332077,,,,,sydama@airlinemarketing.com.au,,www.airlinemarketing.com.au,,,4900,Air and Space Transport,,,,,12788995,18/01/2016 0:00
12789045,med,Language Tuition,821993692,All Foreign Languages Bookshop,572 Hay St,PERTH,WA,6000,PERTH,0892216888,0894851246,,,,,,,,,,,8219,"Adult, Community and Other Education n.e.c.",424421480,Book Shops - New,4244,Newspaper and Book Retailing,12789045,29/05/2009 0:00
12789048,,Carpenters Joiners & Fitters,324201812,All Perth Carpentry & Roofing,,PERTH,WA,6000,PERTH,,,,,0427945345,,,mat@perthcarpentryandroofing.com.au,,www.perthcarpentryandroofing.com.au,1 to 10,2005,3242,Carpentry Services,,,,,12789048,18/01/2016 0:00
12789110,,Employment & Recruitment Agencies,721202654,Ambit Engineering Recruitment,Level 8 105 St Georges Tce,PERTH,WA,6000,PERTH,0894231400,,,,,,,,,www.ambitengineering.com.au,,,7212,Labour Supply Services,,,,,12789110,1/03/2017 0:00
12789142,,Financial Planning Services,641902876,Andep,Level 8 251 Adelaide Tce,PERTH,WA,6000,PERTH,0892255899,,,,,,,,,,,,6419,Other Auxiliary Finance and Investment Services,,,,,12789142,14/09/2011 0:00
12789160,,Book Shops - New,424421480,Angus & Robertson,195 Murray St,PERTH,WA,6001,PERTH,0893255622,,,,,,,,,,,,4244,Newspaper and Book Retailing,,,,,12789160,18/01/2016 0:00
12789177,,Jewellery Designers,259103596,Anthony Colin The Jeweller,Suite 15 2N D Flr London Ct,PERTH,WA,6000,PERTH,0892188537,,,,,,,an33161@bigpond.net.au,,,,,2591,Jewellery and Silverware Manufacturing,259103590,Jewellers - M/Factrs & W/Salers,2591,Jewellery and Silverware Manufacturing,12789177,28/04/2008 0:00
