id,slideshow,body,name,extra,title,body_h,body_f,name_f,name_h,title_h,title_f,extra_h,extra_f,key_words,main_image,description,key_words_h,key_words_f,description_f,description_h
11,general.swf,"<span class=""headerblue"">""Employment Horizons"" Vocational Training and Employment Centers</span><br />\r\n                  <br />\r\nMeir Panim offers vocational training courses to help stem the tide of rising poverty in Israeli society. It is essential for every capable individual to join the workforce, to prevent falling into the depths of poverty. All of the vocational training programs include empowerment courses, so as to recognize their ability",Vocational_Training,,,סניפי,"Koah Latet a mis en place des  ces centres  des formations professionnelles dans différents domaines, tels que l’informatique, l’électronique, la menuiserie et la cordonnerie. Cela permet aux personnes sans emploi de bénéficier d’une formation afin d’intégrer le monde du travail, retrouver l’indépendance financière et surtout leur propre dignité.",Formation professionnelle,הכשרה תעסוקתית,,Formation professionnelle,,,Vocational_Training,vt.jpg,"Meir Panim offers vocational training courses to help stem the tide of rising poverty in Israeli society. It is essential for every capable individual to join the workforce, to prevent falling into the depths of poverty","הכשרה, תעסוקתית",NULL,,סניפי
12,computer.swf,Meir,Computers_from_the_Heart,,Computers from the heart,במסגרת,Le,Un ordinateur offert de tout cœur,מחשב מכל הלב,מחשב מכל הלב,Un ordinateur offert de tout cœur,,,"Computers, heart",Computers.jpg,Meir Panim’s Computers from the Heart program collects used computers and teaches dropout and at-risk teens to repair them.  The refurbished computers are then distributed to children in needy families and young victims of terror attacks.,,NULL,,
13,Senior_Citizens.swf,"Meir Panim hosts Senior Citizen clubs in its dining halls in the morning and afternoon.  Among the activities enjoyed by the elderly participants are cultural events, creative projects, trips, learning a language, lectures, and - most importantly - a nourishing hot meal.",Senior_Citizens_Clubs,,Senior Citizens Clubs,בישראל,Meir Panim accueille les seniors dans des ses restaurants qui sont transformés en clubs pendant les matinées et les après-midis. Les participants bénéficient d’activités culturelles et artistiques. Ils reçoivent des cours d’hébreu et des conférences et plus important que tout – Un repas chaud et consistant.,Les clubs pour personnes âgées,תעסוקת קשישים,בשיבה טובה - תעסוקה לקשישים,Les clubs pour personnes âgées,,,"Senior, Citizens, Club",Senior_Citizens_Club.jpg,"Meir Panim hosts Senior Citizen clubs in its dining halls in the morning and afternoon.  Among the activities enjoyed by the elderly participants are cultural events, creative projects, trips, learning a language, lectures, and most importantly a nou",,NULL,,בשיבה
14,general.swf," <div class=""headerNewsHP13"" align=""center"">Mazel Tov on this milestone! Do you want to do something meaningful to mark the occasion?\n \r\n\t\t\t\t\t\t\t\t      Something you can look back at with pride and satisfaction?\n \r\n\t\t\t\t\t\t\t        Welcome to Project Connect.\t\t\t\t\t\t\t\t      </div>\r\n\t\t\t\t\t\t\t\t  \r\n\t\t\t\t\t\t\t\t  <img src=""images/bar_bat_mitzva_folder.jpg"" width=""680"" height=""419"" border=""0"" usemap=""#MapFolder"">\r\n\t\t\t\t\t\t\t\t  <div class=""text"" align=""center"">For more information, call 877.736.6283 or email <a href=""mailto:deborah@meirpanim.org"">deborah@meirpanim.org</a> </div>\r\n<map name=""MapFolder"">\r\n  <area shape=""rect"" coords=""6,184,336,418"" href=""http://www.meirpanim.net/archive/pdf/2011/Bar-Bat_Mitzvah_parents_2011.pdf"" target=""_blank""><area shape=""rect"" coords=""346,184,671,421"" href=""http://www.meirpanim.net/archive/pdf/2011/Bar-Bat_Mitzvah_kids_2011.pdf"" target=""_blank"">\r\n</map>",Bar_and_Bat_Mitzvah_Program,,Bar/Bat Mitzvah Program,,,,תכנית בר/בת מצוה,,,,,"Bar, Bat, Mitzvah, Program",,Bar/Bat Mitzvah Program,"תכנית, בר, מצוה",NULL,,
15,general.swf,,Bequests,,Bequest,,,,ירושות למאיר פנים,,,,,"Bequests, Wills and Trusts, Monetary, Residuary, Percentage, Restricted, Designating Other Assets ",,"Making a charitable bequest is a wonderful way to commemorate a lifetime of good deeds and success. With a bequest in your will to American Friends of Meir Panim (AFMP), your name and generosity live on via Meir Panim's critical projects in Israel, providing relief to Israel’s needy.",,NULL,,
16,general.swf,Coming soon... ,Memorial_Dedications,,Memorial Dedications,,,,,,,,,"Memorial, Dedications",,Memorial Dedications,,NULL,,
18,general.swf,,Masbir_Panim,,,מסביר,,,מסביר פנים - מערכת מידע קהילתי,מסביר פנים - מערכת מידע קהילתי,,,,,Masbir_Panim.jpg,,"מסביר, פנים, בירוקרטיה, רשויות, עזרה, מתנדב, סניפים",NULL,,מסביר
19,general.swf,‘Growth-,Growth,,Growth - Child Development Centers,,,,צמיחה - מרכזים להתפתחות הילד,צמיחה - מרכזים להתפתחות הילד,,,,"Growth, Child, Development, Centers",Growth.jpg,‘Growth-,"צמיחה, מרכזים, להתפתחות, הילד",NULL,,צמיחה
20,general.swf,,Archive,,Archive all the newsletters,,,,ארכיון,ארכיון ניוזלטרים מסמכים ודוחות,,,,"Archive, Newsletter, Meir Panim",,Archive all the newsletters,"ארכיון, ניוזלטר, דוח העוני, ישראל ביחד",NULL,,ארכיון ניוזלטרים מסמכים ודוחות העוני של הביטוח הלאומי
21,general.swf,"<table width=""100%"" border=""0"" cellpadding=""2"" cellspacing=""2"" bordercolor=""#FFFFFF"">\r\n                                      <tr bgcolor=""#F3F3F3"">\r\n                                        <td valign=""top"" class=""headerNewsHP13""><strong>Q</strong></td>\r\n                                        <td class=""spacer11""><strong>What is Children For Children?  </strong></td>\r\n                                      </tr>\r\n                                   ",Children_For_Children,,Children For Children,,,,ילדים למען ילדים,ילדים למען ילדים,,,,"Children, Meir, Panim",,"Children For Children - provides programs geared towards children and young adults so that they too may be able to partake in this great Mitzvah of keeping Israeli children satiated, healthy, and happy.","ילדים, מאיר, פנים, תמיכה",NULL,,
