DP,P1110,P1256,P1255,P1254,P1230,P1220,P1251,P1250,P1030,P1010,P1340,P1258,P1213,P1212,P1211,P1210,P1090,P1170,P1214,P1132,P1253,P1130,P1131,P1150,P1350,P1252,P1342,P1330,P1287,P1284,P1285,P1040,P1286,P1020,P1281,P1283,P1060,P1280,P1257,P1288,P1180,P1240,P1290,P1270,P1282,P1100,P1300,BSTAT,P1140,P1160,P1080,P1263,P1262,P1120,P1260,P1261,P1200,P1264,P1265,P1341,P1050,P1320,P1190,P1191,P1192,P1310,P1070,DATREG,DANNMF,PASSKEY,PASSMOD
1800,NULL,NULL,NULL,NULL,NULL,100073.01,NULL,19189.49,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,435647.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,251.75,NULL,NULL,NULL,0,19189.49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,117015118,NULL,NULL,NULL,NULL,NULL,NULL,58629.93,NULL,NULL,58629.93,NULL,NULL,NULL,NULL,0,NULL,NULL,257502.97,NULL,NULL,1181464174,INTER,INTER
1800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,161.46,NULL,161.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1485.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1323.78,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,124124089,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1080024025,INTER,INTER
1800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,117620672,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1181242767,INTER,INTER
1800,NULL,NULL,NULL,NULL,NULL,105.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,105.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,827138026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1181114157,INTER,INTER
1800,NULL,NULL,NULL,NULL,NULL,4518.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4518.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,117538816,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1181220534,INTER,INTER
1800,NULL,NULL,NULL,NULL,NULL,282.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,282.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,117634661,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4180011604,INTER,INTER
1800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,117630912,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4180007925,INTER,INTER
1800,NULL,NULL,NULL,NULL,NULL,105967.57,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,106968.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000.53,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,827113023,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1180016828,INTER,INTER
1800,NULL,NULL,NULL,NULL,NULL,4961.88,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5041.47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.59,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,827233976,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1181167048,INTER,INTER
1800,NULL,NULL,NULL,NULL,NULL,9840.61,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28070.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18229.42,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,827183886,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1181000690,INTER,INTER
